# ppms_temperature_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"voltage"	"X"	"Y"	"X"	"Y"
# 34	21
2.75	0.2	0.000202061	-1.57357e-05	3.99353e-05	-1.57953e-06
2.75	0.0999999999999999	0.000221849	-1.9312e-05	4.63428e-05	-2.02657e-06
2.75	0	0.000272514	-2.88488e-05	5.54326e-05	-3.06965e-06

3	2	0.000189186	-1.45436e-05	3.66869e-05	-1.34111e-06
3	1.9	0.000131608	-6.67575e-06	2.53917e-05	-5.36445e-07
3	1.8	0.000111342	-4.64919e-06	2.35141e-05	-3.5763e-07
3	1.7	0.000104189	-3.93394e-06	2.31267e-05	-3.5763e-07
3	1.6	9.85865e-05	-3.6955e-06	2.26797e-05	-3.27827e-07
3	1.5	9.64408e-05	-3.33787e-06	2.24413e-05	-2.98025e-07
3	1.4	9.83481e-05	-3.57629e-06	2.26201e-05	-3.27827e-07
3	1.3	0.000102044	-3.81473e-06	2.30075e-05	-3.5763e-07
3	1.2	0.000105978	-4.17235e-06	2.32459e-05	-3.87432e-07
3	1.1	0.000108362	-4.41077e-06	2.33651e-05	-4.17234e-07
3	1	0.000112772	-4.7684e-06	2.3544e-05	-4.17234e-07
3	0.9	0.000119925	-5.48366e-06	2.37824e-05	-4.47037e-07
3	0.8	0.000127912	-6.31812e-06	2.44976e-05	-4.47037e-07
3	0.7	0.000132919	-6.91417e-06	2.60473e-05	-5.66248e-07
3	0.6	0.000141383	-7.86787e-06	2.77461e-05	-7.15259e-07
3	0.5	0.000156284	-9.65601e-06	2.95938e-05	-8.04666e-07
3	0.4	0.000167848	-1.08481e-05	3.20973e-05	-1.01329e-06
3	0.3	0.000183583	-1.32323e-05	3.54948e-05	-1.2219e-06
3	0.2	0.00020218	-1.59742e-05	4.00248e-05	-1.57953e-06
3	0.0999999999999999	0.000222088	-1.9312e-05	4.64024e-05	-2.02657e-06
3	0	0.000272991	-2.87296e-05	5.54624e-05	-3.06965e-06

3.25	2	0.000189305	-1.44244e-05	3.65975e-05	-1.34111e-06
3.25	1.9	0.00013137	-6.55654e-06	2.54811e-05	-5.66248e-07
3.25	1.8	0.000111223	-4.7684e-06	2.34545e-05	-4.17234e-07
3.25	1.7	0.000103832	-4.17235e-06	2.31267e-05	-3.87432e-07
3.25	1.6	9.83481e-05	-3.57629e-06	2.25903e-05	-3.27827e-07
3.25	1.5	9.60832e-05	-3.57629e-06	2.23817e-05	-3.27827e-07
3.25	1.4	9.81097e-05	-3.6955e-06	2.25605e-05	-3.27827e-07
3.25	1.3	0.000102044	-3.93394e-06	2.30075e-05	-3.27827e-07
3.25	1.2	0.000105501	-4.29156e-06	2.31863e-05	-3.87432e-07
3.25	1.1	0.000108243	-4.41077e-06	2.33055e-05	-3.87432e-07
3.25	1	0.000112415	-4.7684e-06	2.35141e-05	-4.17234e-07
3.25	0.9	0.000119567	-5.36445e-06	2.37228e-05	-4.47037e-07
3.25	0.8	0.000127674	-6.31812e-06	2.44976e-05	-4.47037e-07
3.25	0.7	0.000132562	-6.91417e-06	2.60175e-05	-5.9605e-07
3.25	0.6	0.000141264	-7.86787e-06	2.77461e-05	-6.55655e-07
3.25	0.5	0.000156046	-9.5368e-06	2.9564e-05	-8.34469e-07
3.25	0.4	0.00016749	-1.10865e-05	3.21271e-05	-9.83484e-07
3.25	0.3	0.000183464	-1.32323e-05	3.55544e-05	-1.2219e-06
3.25	0.2	0.00020218	-1.5855e-05	4.00546e-05	-1.57953e-06
3.25	0.0999999999999999	0.000222326	-1.9312e-05	4.64323e-05	-1.99677e-06
3.25	0	0.00027311	-2.87296e-05	5.55816e-05	-3.12926e-06

3.5	2	0.000189067	-1.44244e-05	3.66273e-05	-1.37091e-06
3.5	1.9	0.00013137	-6.55654e-06	2.53917e-05	-5.06643e-07
3.5	1.8	0.000110865	-4.7684e-06	2.34545e-05	-4.17234e-07
