# ppms_field_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Magnetic Field"	"volt"	"X"	"Y"	"X"	"Y"
# 181	201
0	2.6	4.74828e-05	-6.59379e-06	1.79262e-05	-5.52836e-06
0	2.7	4.86153e-05	-6.83966e-06	1.71588e-05	-5.53581e-06
0	2.8	4.94423e-05	-6.7279e-06	1.72184e-05	-5.22289e-06
0	2.9	4.84886e-05	-6.72045e-06	1.74941e-05	-5.52091e-06
0	3	4.72742e-05	-6.42988e-06	1.92822e-05	-5.89344e-06
0	3.1	4.72593e-05	-6.6534e-06	2.17335e-05	-7.04083e-06
0	3.2	4.82278e-05	-6.45968e-06	2.61815e-05	-7.41336e-06
0	3.3	4.75796e-05	-6.14676e-06	3.24401e-05	-8.77684e-06
0	3.4	4.68718e-05	-6.19891e-06	3.65528e-05	-1.01627e-05
0	3.5	4.66483e-05	-6.16166e-06	3.51446e-05	-9.76032e-06
0	3.6	4.37575e-05	-5.84873e-06	3.1166e-05	-8.92585e-06
0	3.7	4.19694e-05	-5.81148e-06	2.89382e-05	-8.8886e-06
0	3.8	4.12392e-05	-5.37935e-06	2.93405e-05	-8.08394e-06
0	3.9	3.79311e-05	-4.85036e-06	3.06445e-05	-8.14354e-06
0	4	3.54501e-05	-4.35862e-06	3.14268e-05	-8.05414e-06
0	4.1	3.38929e-05	-4.50018e-06	3.09499e-05	-8.9333e-06
0	4.2	3.29392e-05	-4.34372e-06	2.95789e-05	-8.48627e-06
0	4.3	3.15907e-05	-3.93394e-06	2.87221e-05	-7.62197e-06
0	4.4	2.96311e-05	-3.6955e-06	2.76269e-05	-7.3761e-06
0	4.5	2.92585e-05	-3.59864e-06	2.60473e-05	-6.95887e-06
0	4.6	2.80218e-05	-3.30807e-06	2.51905e-05	-6.35537e-06
0	4.7	2.73586e-05	-3.28572e-06	2.42667e-05	-6.24362e-06
0	4.8	2.71873e-05	-3.09946e-06	2.41251e-05	-5.69972e-06
0	4.9	2.68222e-05	-3.03985e-06	2.35365e-05	-5.54326e-06
0	5	2.6405e-05	-3.05475e-06	2.26797e-05	-5.69227e-06
0	5.1	2.62634e-05	-3.12926e-06	2.22476e-05	-5.54326e-06
0	5.2	2.60548e-05	-3.0473e-06	2.17856e-05	-5.32719e-06
0	5.3	2.5645e-05	-2.9877e-06	2.0981e-05	-5.09623e-06
0	5.4	2.53321e-05	-3.33042e-06	1.96473e-05	-5.61032e-06
0	5.5	2.58164e-05	-3.0771e-06	1.94312e-05	-5.02172e-06
0	5.6	2.55407e-05	-3.03985e-06	1.89246e-05	-4.88761e-06
0	5.7	2.52054e-05	-3.10691e-06	1.86117e-05	-5.00682e-06
0	5.8	2.53023e-05	-2.93554e-06	1.90065e-05	-4.7237e-06
0	5.9	2.56748e-05	-2.66732e-06	1.93791e-05	-4.03079e-06
0	6	2.61517e-05	-2.58537e-06	1.98559e-05	-3.80726e-06
0	6.1	2.65465e-05	-2.62262e-06	1.98038e-05	-3.71785e-06
0	6.2	2.67775e-05	-2.58537e-06	2.00943e-05	-3.6657e-06
0	6.3	2.6934e-05	-2.58537e-06	2.03849e-05	-3.64335e-06
0	6.4	2.67179e-05	-2.54066e-06	2.12194e-05	-3.74766e-06
0	6.5	2.66508e-05	-2.54066e-06	2.26871e-05	-3.98609e-06
0	6.6	2.67552e-05	-2.59282e-06	2.43263e-05	-4.31392e-06
0	6.7	2.71724e-05	-2.63007e-06	2.55035e-05	-4.53743e-06
0	6.8	2.76641e-05	-2.82378e-06	2.46317e-05	-4.66409e-06
0	6.9	2.76939e-05	-2.92064e-06	2.39612e-05	-4.88016e-06
0	7	2.79323e-05	-2.94299e-06	2.34918e-05	-4.7833e-06
0	7.1	2.7828e-05	-2.90574e-06	2.3082e-05	-4.60449e-06
0	7.2	2.71351e-05	-2.77908e-06	2.3082e-05	-4.40332e-06
0	7.3	2.64869e-05	-2.72693e-06	2.3082e-05	-4.7237e-06
0	7.4	2.65689e-05	-2.93554e-06	2.2933e-05	-5.06642e-06
0	7.5	2.63901e-05	-3.20376e-06	2.26275e-05	-5.9903e-06
0	7.6	2.63305e-05	-2.89084e-06	2.39686e-05	-5.20053e-06
0	7.7	2.6405e-05	-2.80143e-06	2.452e-05	-5.07387e-06
0	7.8	2.62336e-05	-2.66732e-06	2.49894e-05	-4.88016e-06
0	7.9	2.58164e-05	-2.68222e-06	2.47882e-05	-4.92486e-06
0	8	2.58685e-05	-2.67477e-06	2.48851e-05	-4.93231e-06
0	8.1	2.55258e-05	-2.69712e-06	2.47584e-05	-5.08133e-06
0	8.2	2.51309e-05	-2.66732e-06	2.48627e-05	-5.17818e-06
0	8.3	2.46094e-05	-2.59282e-06	2.50788e-05	-5.15583e-06
0	8.4	2.41102e-05	-2.55556e-06	2.51905e-05	-5.26759e-06
0	8.5	2.38345e-05	-2.54811e-06	2.48329e-05	-5.40915e-06
0	8.6	2.36855e-05	-2.52576e-06	2.43933e-05	-4.97702e-06
0	8.7	2.38494e-05	-2.3842e-06	2.41251e-05	-4.58959e-06
0	8.8	2.45125e-05	-2.42145e-06	2.32906e-05	-4.37352e-06
0	8.9	2.46839e-05	-2.37675e-06	2.26573e-05	-4.18726e-06
0	9	2.42965e-05	-2.36185e-06	2.24189e-05	-4.15745e-06
0	9.1	2.38867e-05	-2.29479e-06	2.23519e-05	-4.1202e-06
0	9.2	2.41102e-05	-2.3842e-06	2.22997e-05	-4.35117e-06
0	9.3	2.44082e-05	-2.45126e-06	2.23966e-05	-4.34372e-06
0	9.4	2.43561e-05	-2.28734e-06	2.27616e-05	-4.0755e-06
0	9.5	2.42518e-05	-2.3395e-06	2.29777e-05	-4.15e-06
0	9.6	2.37153e-05	-2.46616e-06	2.26275e-05	-4.69389e-06
0	9.7	2.32236e-05	-2.3842e-06	2.2337e-05	-4.58214e-06
0	9.8	2.33055e-05	-2.19049e-06	2.24264e-05	-4.05314e-06
0	9.9	2.33875e-05	-2.21284e-06	2.24264e-05	-3.88178e-06
0	10	2.29852e-05	-2.13833e-06	2.25381e-05	-3.82963e-06

50	-10	2.48105e-05	-2.09363e-06	2.39984e-05	-3.50924e-06
50	-9.9	2.51607e-05	-2.16068e-06	2.45945e-05	-3.6508e-06
