# count_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y	ppms_temperature	time0
# "count"	"X"	"Y"	"X"	"Y"	"Temperature"	"time0"
# 3600
2604	0.000167013	-1.03713e-05	3.27828e-05	-1.04309e-06	300.007995605469	2866.21750640869
2605	0.000166894	-1.03713e-05	3.28126e-05	-1.01329e-06	300.0087890625	2867.30689477921
2606	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.007781982422	2868.40733861923
2607	0.000167252	-1.03713e-05	3.28126e-05	-1.04309e-06	300.007598876953	2869.50670266151
2608	0.000167013	-1.03713e-05	3.27828e-05	-1.04309e-06	300.009185791016	2870.63704967499
2609	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.009368896484	2871.72742056847
2610	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.0087890625	2872.82578611374
2611	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.008575439453	2873.91815567017
2612	0.000167132	-1.04905e-05	3.27828e-05	-1.04309e-06	300.007385253906	2875.02055692673
2613	0.000167013	-1.01328e-05	3.28126e-05	-1.04309e-06	300.008972167969	2876.15786147118
2614	0.000167013	-1.02521e-05	3.28126e-05	-1.04309e-06	300.008392333984	2877.24825024605
2615	0.000167252	-1.04905e-05	3.28126e-05	-1.04309e-06	300.006408691406	2878.34959602356
2616	0.000167252	-1.04905e-05	3.28424e-05	-1.04309e-06	300.008972167969	2879.44702625275
2617	0.000167132	-1.02521e-05	3.28126e-05	-1.04309e-06	300.008392333984	2880.53841471672
2618	0.000167013	-1.02521e-05	3.28126e-05	-1.04309e-06	300.006988525391	2881.67773723602
2619	0.000167013	-1.04905e-05	3.27828e-05	-1.07289e-06	300.007781982422	2882.77610254288
2620	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.007995605469	2883.86648082733
2621	0.000167132	-1.01328e-05	3.28126e-05	-1.04309e-06	300.006408691406	2884.95684504509
2622	0.000167252	-1.01328e-05	3.27828e-05	-1.04309e-06	300.008392333984	2886.04923129082
2623	0.000167013	-1.04905e-05	3.27828e-05	-1.04309e-06	300.0087890625	2887.19155263901
2624	0.000166894	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006591796875	2888.28892993927
2625	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.007781982422	2889.39029622078
2626	0.000167132	-1.03713e-05	3.27828e-05	-1.04309e-06	300.008392333984	2890.48964858055
2627	0.000167013	-1.03713e-05	3.28126e-05	-1.01329e-06	300.008392333984	2891.58801436424
2628	0.000167132	-1.04905e-05	3.27828e-05	-1.04309e-06	300.008392333984	2892.73035407066
2629	0.000167132	-1.03713e-05	3.28126e-05	-1.01329e-06	300.006408691406	2893.82773852348
2630	0.000167132	-1.02521e-05	3.28126e-05	-1.04309e-06	300.007781982422	2894.92815828323
2631	0.000167252	-1.03713e-05	3.28126e-05	-1.07289e-06	300.007202148438	2896.02050757408
2632	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.006591796875	2897.11787366867
2633	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.007385253906	2898.25521636009
2634	0.000167013	-1.02521e-05	3.28424e-05	-1.04309e-06	299.998657226562	2899.34958600998
2635	0.000167013	-1.01328e-05	3.28126e-05	-1.04309e-06	300.007385253906	2900.44599819183
2636	0.000167013	-1.03713e-05	3.28126e-05	-1.04309e-06	300.008972167969	2901.53834891319
