# ppms_field_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X
# "Magnetic Field"	"voltage"	"X"	"Y"	"X"
# 46	101
0	4.6	3.42728e-06	4.17234e-07	8.04666e-07
0	4.5	3.54649e-06	3.5763e-07	8.34469e-07
0	4.4	3.42728e-06	3.5763e-07	8.34469e-07
0	4.3	3.54649e-06	2.68223e-07	8.94073e-07
0	4.2	3.6657e-06	2.98025e-07	8.94073e-07
0	4.1	3.6657e-06	3.27827e-07	9.23876e-07
0	4	3.7253e-06	3.87432e-07	9.23876e-07
0	3.9	3.87433e-06	3.27827e-07	9.53682e-07
0	3.8	3.75511e-06	2.68223e-07	9.23876e-07
0	3.7	3.81473e-06	3.87432e-07	9.23876e-07
0	3.6	3.99354e-06	2.3842e-07	9.23876e-07
0	3.5	4.17235e-06	2.68223e-07	9.23876e-07
0	3.4	4.29156e-06	2.98025e-07	9.53682e-07
0	3.3	4.32137e-06	3.5763e-07	1.01329e-06
0	3.2	4.52998e-06	3.27827e-07	1.04309e-06
0	3.1	4.61939e-06	3.5763e-07	1.07289e-06
0	3	4.55978e-06	3.27827e-07	1.1623e-06
0	2.9	4.85781e-06	3.27827e-07	1.1623e-06
0	2.8	4.97702e-06	2.3842e-07	1.1623e-06
0	2.7	4.97702e-06	2.98025e-07	1.1325e-06
0	2.6	5.15583e-06	2.3842e-07	1.1623e-06
0	2.5	5.24524e-06	3.27827e-07	1.1921e-06
0	2.4	5.39425e-06	2.98025e-07	1.2219e-06
0	2.3	5.63267e-06	3.87432e-07	1.34111e-06
0	2.2	6.0797e-06	2.68223e-07	1.46032e-06
0	2.1	6.19891e-06	2.68223e-07	1.49012e-06
0	2	6.46713e-06	2.98025e-07	1.51993e-06
0	1.9	6.82476e-06	3.27827e-07	1.57953e-06
0	1.8	7.21219e-06	2.68223e-07	1.63914e-06
0	1.7	7.42081e-06	1.78815e-07	1.69874e-06
0	1.6	7.65926e-06	2.98025e-07	1.75834e-06
0	1.5	7.92748e-06	1.78815e-07	1.81795e-06
0	1.4	7.21219e-06	2.98025e-07	1.78815e-06
0	1.3	8.55332e-06	1.1921e-07	1.87755e-06
0	1.2	9.05996e-06	2.68223e-07	1.99677e-06
0	1.1	9.03016e-06	2.98025e-07	2.02657e-06
0	1	9.44739e-06	1.78815e-07	2.05637e-06
0	0.9	1.03117e-05	1.1921e-07	2.14578e-06
0	0.799999999999999	1.08779e-05	-2.98025e-08	2.26499e-06
0	0.699999999999999	1.18912e-05	0	2.414e-06
0	0.6	1.28449e-05	2.98025e-08	2.59282e-06
0	0.5	1.49012e-05	-2.3842e-07	2.86104e-06
0	0.399999999999999	1.69576e-05	-3.87432e-07	3.18886e-06
0	0.299999999999999	1.98783e-05	-8.34469e-07	3.7253e-06
0	0.199999999999999	2.6703e-05	-1.78815e-06	4.97702e-06
0	0.0999999999999996	4.07102e-05	-5.54326e-06	6.97377e-06
0	0	5.00681e-05	-8.2255e-06	8.79174e-06

200	10	2.17558e-06	3.5763e-07	4.47037e-07
200	9.9	2.08618e-06	3.87432e-07	4.47037e-07
200	9.8	2.17558e-06	3.5763e-07	4.76841e-07
200	9.7	2.14578e-06	3.5763e-07	4.47037e-07
200	9.6	2.20539e-06	2.3842e-07	4.47037e-07
200	9.5	2.26499e-06	3.87432e-07	4.47037e-07
200	9.4	2.20539e-06	3.5763e-07	4.76841e-07
200	9.3	2.11598e-06	3.27827e-07	5.06643e-07
