# ppms_temperature_set_stable_set	srdc_volt_set	lockin1_X	lockin1_Y	lockin2_X	lockin2_Y
# "Temperature"	"volt"	"X"	"Y"	"X"	"Y"
# 19	601
20	-3.08	2.72506e-06	-1.90922e-07	1.89571e-06	-1.55532e-07
20	-3.06	2.78653e-06	-1.74158e-07	1.90084e-06	-1.49478e-07
20	-3.04	2.76232e-06	-1.58326e-07	1.87988e-06	-1.34111e-07
20	-3.02	2.753e-06	-1.86265e-07	1.8892e-06	-1.46684e-07
20	-3	2.78188e-06	-1.85334e-07	1.8701e-06	-1.44356e-07
20	-2.98	2.79305e-06	-1.84403e-07	1.84589e-06	-1.39699e-07
20	-2.96	2.73717e-06	-1.83471e-07	1.85474e-06	-1.62051e-07
20	-2.94	2.77163e-06	-1.89991e-07	1.85939e-06	-1.20142e-07
20	-2.92	2.77815e-06	-1.70433e-07	1.86591e-06	-1.31783e-07
20	-2.9	2.77256e-06	-1.79746e-07	1.84356e-06	-1.44356e-07
20	-2.88	2.76697e-06	-1.37837e-07	1.86545e-06	-1.42493e-07
20	-2.86	2.76791e-06	-1.81609e-07	1.8268e-06	-1.58791e-07
20	-2.84	2.753e-06	-1.8254e-07	1.84635e-06	-1.2247e-07
20	-2.82	2.73251e-06	-1.91853e-07	1.84822e-06	-1.38302e-07
20	-2.8	2.74648e-06	-1.76021e-07	1.79793e-06	-1.51341e-07
20	-2.78	2.73624e-06	-1.50875e-07	1.84077e-06	-1.69036e-07
20	-2.76	2.73158e-06	-1.57394e-07	1.83984e-06	-1.14553e-07
20	-2.74	2.75207e-06	-1.62051e-07	1.8417e-06	-1.50875e-07
20	-2.72	2.72879e-06	-1.76021e-07	1.79513e-06	-1.38302e-07
20	-2.7	2.75859e-06	-1.88128e-07	1.80351e-06	-1.4389e-07
20	-2.68	2.69061e-06	-2.02098e-07	1.78256e-06	-1.03843e-07
20	-2.66	2.75766e-06	-1.76021e-07	1.8119e-06	-1.4389e-07
20	-2.64	2.72879e-06	-1.81609e-07	1.80305e-06	-1.43425e-07
20	-2.62	2.77163e-06	-1.80677e-07	1.78396e-06	-1.44356e-07
20	-2.6	2.76791e-06	-1.78815e-07	1.78396e-06	-1.35974e-07
20	-2.58	2.73438e-06	-1.27592e-07	1.79047e-06	-1.63448e-07
20	-2.56	2.74183e-06	-2.05823e-07	1.78256e-06	-1.51806e-07
20	-2.54	2.73065e-06	-1.95579e-07	1.80212e-06	-1.39234e-07
20	-2.52	2.73531e-06	-1.92785e-07	1.79513e-06	-1.28523e-07
