# ppms_field_set_stable_set	k2200_voltage_set	lockin1_X	lockin1_Y	lockin2_X
# "Magnetic Field"	"voltage"	"X"	"Y"	"X"
# 91	101
8900	0.299999999999999	0.000833277	-0.000338556	0.0001328
8900	0.199999999999999	0.000913981	-0.000406744	0.000159443
8900	0.0999999999999996	0.00100303	-0.000492696	0.000195296
8900	0	0.00108445	-0.000583414	0.000238479

8800	10	4.39885e-05	-1.1921e-06	6.88437e-06
8800	9.9	5.38828e-05	-1.54973e-06	8.04669e-06
8800	9.8	4.76839e-05	-1.31131e-06	8.04669e-06
8800	9.7	3.89817e-05	-9.53682e-07	6.85456e-06
8800	9.6	3.17099e-05	-4.76841e-07	5.90089e-06
8800	9.5	2.77759e-05	-3.5763e-07	5.39425e-06
8800	9.4	2.50341e-05	-3.5763e-07	5.06642e-06
8800	9.3	2.33651e-05	-3.5763e-07	4.88761e-06
8800	9.2	2.31267e-05	-3.5763e-07	4.88761e-06
8800	9.1	2.39612e-05	-3.5763e-07	5.00682e-06
8800	9	2.57493e-05	-3.5763e-07	5.12603e-06
8800	8.9	2.76567e-05	-4.76841e-07	5.33464e-06
8800	8.8	2.93256e-05	-3.5763e-07	5.54326e-06
8800	8.7	3.09946e-05	-5.9605e-07	5.78168e-06
8800	8.6	3.30212e-05	-4.76841e-07	6.13931e-06
8800	8.5	3.56438e-05	-7.15259e-07	6.37773e-06
8800	8.4	3.82664e-05	-8.34469e-07	6.73535e-06
8800	8.3	4.06506e-05	-8.34469e-07	7.03338e-06
8800	8.2	4.26772e-05	-9.53682e-07	7.45061e-06
8800	8.1	4.50613e-05	-1.1921e-06	7.83807e-06
8800	8	4.68495e-05	-1.1921e-06	8.04669e-06
8800	7.9	4.81608e-05	-1.31131e-06	8.16589e-06
8800	7.8	4.98297e-05	-1.31131e-06	8.31491e-06
8800	7.7	5.16179e-05	-1.54973e-06	8.2553e-06
8800	7.6	5.32868e-05	-1.54973e-06	8.2851e-06
8800	7.5	5.42405e-05	-1.66894e-06	8.2553e-06
8800	7.4	5.45981e-05	-1.78815e-06	8.10629e-06
8800	7.3	5.44789e-05	-1.66894e-06	7.98708e-06
8800	7.2	5.47173e-05	-1.54973e-06	7.80827e-06
8800	7.1	5.31676e-05	-1.66894e-06	7.83807e-06
8800	7	5.14986e-05	-1.78815e-06	8.04669e-06
8800	6.9	4.98297e-05	-1.43052e-06	8.10629e-06
8800	6.8	4.85184e-05	-1.43052e-06	8.13609e-06
8800	6.7	4.75647e-05	-1.43052e-06	7.95728e-06
8800	6.6	4.61342e-05	-1.43052e-06	7.24199e-06
8800	6.5	4.48229e-05	-1.31131e-06	6.43733e-06
8800	6.4	4.30348e-05	-1.07289e-06	5.90089e-06
8800	6.3	4.0889e-05	-1.1921e-06	5.66247e-06
8800	6.2	3.8624e-05	-1.1921e-06	5.54326e-06
8800	6.1	3.69551e-05	-9.53682e-07	5.63267e-06
8800	6	3.52862e-05	-8.34469e-07	5.96049e-06
8800	5.9	3.39749e-05	-8.34469e-07	6.58634e-06
8800	5.8	3.49286e-05	-8.34469e-07	7.92748e-06
8800	5.7	3.98161e-05	-1.07289e-06	8.97056e-06
8800	5.6	4.56574e-05	-1.43052e-06	9.74542e-06
8800	5.5	4.98297e-05	-1.43052e-06	1.03415e-05
8800	5.4	5.38828e-05	-1.66894e-06	1.08183e-05
8800	5.3	5.92472e-05	-2.14578e-06	1.13547e-05
8800	5.2	6.55656e-05	-2.62262e-06	1.1921e-05
